Browser,Owner,Certificate Issuer Organization,Certificate Issuer Organizational Unit,Common Name or Certificate Name,SHA-1 Fingerprint,Valid From [GMT],Valid To [GMT],Signing Key Parameters,Signature Algorithm,Trust Bits,EV Policy OID(s),Approval Bug,NSS Release When First Included,Firefox Release When First Included,URL to Test Website or Example Cert,Mozilla Applied Constraints,Company Website,Certificate Policy (CP),Certification Practice Statement (CPS),Standard Audit,BR Audit,EV Audit,Auditor,Standard Audit Type,Standard Audit Statement Dt,Comments,Country
Firefox,Atos,Atos,,Atos TrustedRoot 2011,2BB1F53E550C1DC5F1D4E6B76A464B550602AC21,2011 Jul 07,2030 Dec 31,2048,SHA-256,Code; Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=711366,NSS 3.16,Firefox 29,https://pki.atos.net:7081/,,https://pki.atos.net/TrustedRoot/,https://pki.atos.net/TrustedRoot/,https://pki.atos.net/Download/AtosTrustedCACPSv1.7.pdf,https://www.mydqs.com/kunden/kundendatenbank.html?aoemydqs%5Bcompany_no%5D=334220&aoemydqs%5Baction%5D=singleView&cHash=c086db2a2cd03a17407d1f2712ab2dd4,https://www.mydqs.com/kunden/kundendatenbank.html?aoemydqs%5Bcompany_no%5D=334220&aoemydqs%5Baction%5D=singleView&cHash=c086db2a2cd03a17407d1f2712ab2dd4,,DQS GmbH,ETSI TS 102 042,2014.07.29,,
Firefox,Autoridad de Certificacion Firmaprofesional,Autoridad de Certificacion Firmaprofesional,,Autoridad de Certificacion Firmaprofesional CIF A62634068,AEC5FB3FC8E1BFC4E54F03075A9AE800B7F7B6FA,2009 May 20,2030 Dec 31,4096,SHA-1,Code; Email; Websites,1.3.6.1.4.1.13177.10.1.3.10,https://bugzilla.mozilla.org/show_bug.cgi?id=521439,NSS 3.12.9,Firefox 4.0,https://publifirma.firmaprofesional.com/,,http://www.firmaprofesional.com/,http://www.firmaprofesional.com/cps,http://www.firmaprofesional.com/cps,https://cert.webtrust.org/SealFile?seal=1846&file=pdf,NONE!,https://cert.webtrust.org/SealFile?seal=1847&file=pdf,Auren,WebTrust,2015.03.11,,
Firefox,Verizon Business,Baltimore,CyberTrust,Baltimore CyberTrust Root,D4DE20D05E66FC53FE1A50882C78DB2852CAE474,2000 May 12,2025 May 12,2048,SHA-1,Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=430698,,Firefox 1,https://baltimore.omniroot.com,,http://www.verizon.com/ssl,http://cybertrust.omniroot.com/repository,http://cybertrust.omniroot.com/repository,https://cert.webtrust.org/SealFile?seal=1798&file=pdf,NONE!,,Ernst & Young,WebTrust,2014.12.15,"Verizon has internal BR audit statements for 2013 and 2014, but cannot share publicly. They expect 2015 audit statements to include a public-facing BR seal.",
Firefox,Buypass,Buypass AS-983163327,,Buypass Class 2 CA 1,A0A1AB90C9FC847B3B1261E8977D5FD32261D3CC,2006 Oct 13,2016 Oct 13,2048,SHA-1,Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=477028,NSS 3.12.5,Firefox 3.6,https://valid.domainplus.ca12.ssl.buypass.no/,,http://www.buypass.no/,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325?_download=true&_ts=14bc532b650,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325?_download=true&_ts=14bc532b650,,BSI,ETSI TS 102 042,2015.02.25,,
Firefox,Buypass,Buypass AS-983163327,,Buypass Class 2 Root CA,490A7574DE870A47FE58EEF6C76BEBC60B124099,2010 Oct 26,2040 Oct 26,4096,SHA-256,Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=685128,NSS 3.13.6,Firefox 16,https://valid.domainplus.ca22.ssl.buypass.no/,,http://www.buypass.no/,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325?_download=true&_ts=14bc532b650,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325?_download=true&_ts=14bc532b650,,BSI,ETSI TS 102 042,2015.02.25,,
Firefox,Buypass,Buypass AS-983163327,,Buypass Class 3 CA 1,61573A11DF0ED87ED5926522EAD056D744B32371,2005 May 09,2015 May 09,2048,SHA-1,Websites,2.16.578.1.26.1.3.3,https://bugzilla.mozilla.org/show_bug.cgi?id=477028,NSS 3.12.5,Firefox 3.6,https://valid.evident.ca13.ssl.buypass.no/,,http://www.buypass.no/,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325?_download=true&_ts=14bc532b650,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325?_download=true&_ts=14bc532b650,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325?_download=true&_ts=14bc532b650,BSI,ETSI TS 102 042,2015.02.25,"PTC-BR stands for Publicly Trusted Certificates – Baseline Requirements. It is one of the “policies” within the ETSI TS 102042 v2.4.1 standard and means that BRG is included in the audit. Same applies to “EV-CP” (EV-certificates). ... ETSI standard, page 13",
Firefox,Buypass,Buypass AS-983163327,,Buypass Class 3 Root CA,DAFAF7FA6684EC068F1450BDC7C281A5BCA96457,2010 Oct 26,2040 Oct 26,4096,SHA-256,Websites,2.16.578.1.26.1.3.3,https://bugzilla.mozilla.org/show_bug.cgi?id=685128,NSS 3.13.6,Firefox 16,https://valid.evident.ca23.ssl.buypass.no/,,http://www.buypass.no/,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325?_download=true&_ts=14bc532b650,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325?_download=true&_ts=14bc532b650,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325?_download=true&_ts=14bc532b650,BSI,ETSI TS 102 042,2015.02.25,,
Firefox,Certinomis,Certinomis,0002 433998903,Certinomis - Autorité Racine,2E14DAEC28F0FA1E8E389A4EABEB26C00AD383C3,2008 Sep 17,2028 Sep 17,4096,SHA-1,Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=545614,NSS 3.12.11,Firefox 6.0.2,https://w3-test.certinomis.com,,http://www.certinomis.com,http://www.certinomis.com/documents-et-liens/nos-politiques,http://www.certinomis.com/documents-et-liens/nos-politiques,http://www.lsti-certification.fr/images/liste_entreprise/Liste%20PSCe.pdf,https://bugzilla.mozilla.org/attachment.cgi?id=8451590,,LSTI,ETSI TS 102 042,2014.06.30,PTC-BR = BR audit criteria,
Firefox,OpenTrust / KEYNECTIS,Certplus,,Class 2 Primary CA,74207441729CDD92EC7931D823108DC28192E2BB,1999 Jul 07,2019 Jul 06,2048,SHA-1,Email; Websites,1.3.6.1.4.1.22234.2.5.2.3.1,https://bugzilla.mozilla.org/show_bug.cgi?id=335392,NSS 3.11.8,Firefox 2,https://www.keynectis.com/en/,,http://www.opentrust.com/en/,http://www.opentrust.com/en/certification-policy,http://www.opentrust.com/en/certification-policy,http://www.lsti-certification.fr/images/liste_entreprise/Liste%20PSCe.pdf,https://bug1025095.bugzilla.mozilla.org/attachment.cgi?id=8590352,http://www.lsti-certification.fr/images/liste_entreprise/Liste%20PSCe.pdf,LSTI,ETSI TS 102 042,2015.04.09,,
Firefox,certSIGN,certSIGN,certSIGN ROOT CA,certSIGN ROOT CA,FAB7EE36972662FB2DB02AF6BF03FDE87C4B2F9B,2006 Jul 04,2031 Jul 04,2048,SHA-1,Code; Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=470756,NSS 3.12.5,Firefox 3.6,https://www.certsign.ro,,http://www.certsign.ro/certsign_en/,http://www.certsign.ro/certsign/resurse/documentatie/documente-certsign/politici-si-proceduri,http://www.certsign.ro/certsign/resurse/documentatie/documente-certsign/politici-si-proceduri,https://bug470756.bugzilla.mozilla.org/attachment.cgi?id=8598757,https://bug470756.bugzilla.mozilla.org/attachment.cgi?id=8598757,,Ernst & Young,WebTrust,2015.04.10,,
