Approval Bug,Auditor,BR Audit,Browser,Certificate Issuer Organization,Certificate Issuer Organizational Unit,Certificate Policy (CP),Certification Practice Statement (CPS),Common Name or Certificate Name,Company Website,EV Audit,EV Policy OID(s),Firefox Release When First Included,Geographic Focus,Mozilla Applied Constraints,NSS Release When First Included,Owner,SHA-1 Fingerprint,Signature Algorithm,Signing Key Parameters,Standard Audit,Standard Audit Statement Dt ,Standard Audit Type,Trust Bits,URL to Test Website or Example Cert,Valid From [GMT],Valid To [GMT]
https://bugzilla.mozilla.org/show_bug.cgiid=937589,LSTI,https://bugzilla.mozilla.org/attachment.cgiid=8652034,Firefox,Certinomis,0002 433998903,http://www.certinomis.fr/publi/rgs/DT-FL-1310-060-PC-WEBSSL-1.4-EN.pdf,http://www.certinomis.com/documents-et-liens/nos-politiques,Certinomis - Root CA,http://www.certinomis.fr,,Not EV,Firefox 42,France,None,NSS 3.19.3,Certinomis,9D70BB01A5A4A018112EF71C01B932C534E788A8,SHA-256,4096,http://www.lsti-certification.fr/images/liste_entreprise/Liste%20PSCe.pdf,2015.04.03 ,ETSI TS 102 042,Websites,https://igc-g3.certinomis.com/,2013 Oct 21,2033 Oct 21
https://bugzilla.mozilla.org/show_bug.cgiid=470756,Ernst & Young,https://bug470756.bugzilla.mozilla.org/attachment.cgiid=8598757,Firefox,certSIGN,certSIGN ROOT CA,http://www.certsign.ro/certsign/resurse/documentatie/documente-certsign/politici-si-proceduri,http://www.certsign.ro/certsign/resurse/documentatie/documente-certsign/politici-si-proceduri,certSIGN ROOT CA,http://www.certsign.ro/certsign_en/,,Not EV,Firefox 3.6,Romania,,NSS 3.12.5,certSIGN,FAB7EE36972662FB2DB02AF6BF03FDE87C4B2F9B,SHA-1,2048,https://bug470756.bugzilla.mozilla.org/attachment.cgiid=8598757,2015.04.10 ,WebTrust,Websites;Email;Code,https://www.certsign.ro,2006 Jul 04,2031 Jul 04
https://bugzilla.mozilla.org/show_bug.cgiid=926029,PricewaterhouseCoopers,https://cert.webtrust.org/SealFileseal=1946&file=pdf,Firefox,China Financial Certification Authority,,http://www.cfca.com.cn/us/us-12.htm,https://bugzilla.mozilla.org/attachment.cgiid=8545612,CFCA EV ROOT,http://www.cfca.com.cn/,https://cert.webtrust.org/SealFileseal=1945&file=pdf,2.16.156.112554.3,Firefox 38,China,None,NSS 3.18,China Financial Certification Authority (CFCA),E2B8294B5584AB6B58C290466CAC3FB8398F8483,SHA-256,4096,https://cert.webtrust.org/SealFileseal=1944&file=pdf,2015.10.16 ,WebTrust,Websites,https://pub.cebnet.com.cn,2012 Aug 08,2029 Dec 31
https://bugzilla.mozilla.org/show_bug.cgiid=607208,Ernst & Young,http://www.cnnic.cn/jczyfw/fwqzs/fwqzsrzjzz/,Firefox,China Internet Network Information Center,,http://www.cnnic.cn/cps/,http://www.cnnic.cn/cps/,China Internet Network Information Center EV Certificates Root,http://www1.cnnic.cn/index.htm,https://cert.webtrust.org/SealFileseal=1730&file=pdf,1.3.6.1.4.1.29836.1.10,Firefox 23,China,https://bugzilla.mozilla.org/show_bug.cgiid=1177209,NSS 3.15,China Internet Network Information Center (CNNIC),4F99AA93FB2BD13726A1994ACE7FF005F2935D1E,SHA-1,2048,https://cert.webtrust.org/SealFileseal=1731&file=pdf,2014.08.01 ,WebTrust,Websites,https://evdemo.cnnic.cn/,2010 Aug 31,2030 Aug 31
https://bugzilla.mozilla.org/show_bug.cgiid=476766,Ernst & Young,http://www.cnnic.cn/jczyfw/fwqzs/fwqzsrzjzz/,Firefox,CNNIC,,http://www.cnnic.cn/cps/,http://www.cnnic.cn/cps/,CNNIC ROOT,http://www1.cnnic.cn/index.htm,,Not EV,Firefox 3.6.2,China,https://bugzilla.mozilla.org/show_bug.cgiid=1177209,NSS 3.12.6,China Internet Network Information Center (CNNIC),8BAF4C9B1DF02A92F7DA128EB91BACF498604B6F,SHA-1,2048,https://cert.webtrust.org/SealFileseal=1731&file=pdf,2014.08.01 ,WebTrust,Websites,https://mail.cnnic.cn/,2007 Apr 16,2027 Apr 16
https://bugzilla.mozilla.org/show_bug.cgiid=448794,DFK,https://cert.webtrust.org/SealFileseal=1776&file=pdf,Firefox,"Chunghwa Telecom Co., Ltd.",ePKI Root Certification Authority,http://epki.com.tw/repository_en.htm,http://epki.com.tw/repository_en.htm,ePKI Root Certification Authority,http://www.cht.com.tw,,Not EV,Firefox 3.6,Taiwan,,NSS 3.12.5,Chunghwa Telecom Corporation,67650DF17E8E7E5B8240A4F4564BCFE23D69C6F0,SHA-1,4096,https://cert.webtrust.org/SealFileseal=1775&file=pdf,2014.11.26 ,WebTrust,Websites;Email;Code,https://publicca.hinet.net/,2004 Dec 20,2034 Dec 20
legacy,Ernst & Young,http://cert.webtrust.org/SealFileseal=1929&file=pdf,Firefox,AddTrust AB,AddTrust TTP Network,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,AddTrust Class 1 CA Root,http://www.comodo.com/,,Not EV,Firefox 1,"UK, Global",,,Comodo,CCAB0EA04C2301D6697BDD379FCD12EB24E3949D,SHA-1,2048,https://cert.webtrust.org/SealFileseal=1921&file=pdf,2015.07.29 ,WebTrust,Websites;Email,https://addtrustclass1caroot.comodoca.com/,2000 May 30,2020 May 30
legacy,Ernst & Young,http://cert.webtrust.org/SealFileseal=1927&file=pdf,Firefox,AddTrust AB,AddTrust External TTP Network,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,AddTrust External CA Root,http://www.comodo.com/,http://cert.webtrust.org/SealFileseal=1927&file=pdf,1.3.6.1.4.1.6449.1.2.1.5.1,Firefox 1,"UK, Global",,,Comodo,02FAF3E291435468607857694DF5E45B68851868,SHA-1,2048,https://cert.webtrust.org/SealFileseal=1921&file=pdf,2015.07.29 ,WebTrust,Websites;Email;Code,https://addtrustexternalcaroot-ev.comodoca.com/,2000 May 30,2020 May 30
legacy,Ernst & Young,http://cert.webtrust.org/SealFileseal=1929&file=pdf,Firefox,AddTrust AB,AddTrust TTP Network,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,AddTrust Public CA Root,http://www.comodo.com/,,Not EV,Firefox 1,"UK, Global",,,Comodo,2AB628485E78FBF3AD9E7910DD6BDF99722C96E5,SHA-1,2048,https://cert.webtrust.org/SealFileseal=1921&file=pdf,2015.07.29 ,WebTrust,Websites;Email;Code,https://addtrustpubliccaroot.comodoca.com/,2000 May 30,2020 May 30
legacy,Ernst & Young,http://cert.webtrust.org/SealFileseal=1929&file=pdf,Firefox,AddTrust AB,AddTrust TTP Network,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,AddTrust Qualified CA Root,http://www.comodo.com/,,Not EV,Firefox 1,"UK, Global",,,Comodo,4D2378EC919539B5007F758F033B211EC54D8BCF,SHA-1,2048,https://cert.webtrust.org/SealFileseal=1921&file=pdf,2015.07.29 ,WebTrust,Websites;Email;Code,https://addtrustqualifiedcaroot.comodoca.com/,2000 May 30,2020 May 30
